index,SKU Code,Design No.,Stock,Category,Size,Color
0,AN201-RED-L,AN201,5.0,AN : LEGGINGS,L,Red
1,AN201-RED-M,AN201,5.0,AN : LEGGINGS,M,Red
2,AN201-RED-S,AN201,3.0,AN : LEGGINGS,S,Red
3,AN201-RED-XL,AN201,6.0,AN : LEGGINGS,XL,Red
4,AN201-RED-XXL,AN201,3.0,AN : LEGGINGS,XXL,Red
5,AN202-ORANGE-L,AN202,11.0,AN : LEGGINGS,L,Orange
6,AN202-ORANGE-M,AN202,3.0,AN : LEGGINGS,M,Orange
7,AN202-ORANGE-S,AN202,16.0,AN : LEGGINGS,S,Orange
8,AN202-ORANGE-XL,AN202,8.0,AN : LEGGINGS,XL,Orange
9,AN202-ORANGE-XXL,AN202,14.0,AN : LEGGINGS,XXL,Orange
10,AN203-MAROON-L,AN203,1.0,AN : LEGGINGS,L,Maroon
11,AN203-MAROON-M,AN203,2.0,AN : LEGGINGS,M,Maroon
12,AN203-MAROON-S,AN203,2.0,AN : LEGGINGS,S,Maroon
13,AN203-MAROON-XL,AN203,2.0,AN : LEGGINGS,XL,Maroon
14,AN203-MAROON-XXL,AN203,3.0,AN : LEGGINGS,XXL,Maroon
15,AN204-PURPLE-L,AN204,10.0,AN : LEGGINGS,L,Purple
16,AN204-PURPLE-M,AN204,4.0,AN : LEGGINGS,M,Purple
17,AN204-PURPLE-S,AN204,6.0,AN : LEGGINGS,S,Purple
18,AN204-PURPLE-XL,AN204,3.0,AN : LEGGINGS,XL,Purple
19,AN204-PURPLE-XXL,AN204,5.0,AN : LEGGINGS,XXL,Purple
20,AN205-YELLOW-L,AN205,9.0,AN : LEGGINGS,L,Yellow
21,AN205-YELLOW-M,AN205,7.0,AN : LEGGINGS,M,Yellow
22,AN205-YELLOW-S,AN205,6.0,AN : LEGGINGS,S,Yellow
23,AN205-YELLOW-XL,AN205,7.0,AN : LEGGINGS,XL,Yellow
24,AN205-YELLOW-XXL,AN205,13.0,AN : LEGGINGS,XXL,Yellow
25,AN206-GREEN-L,AN206,10.0,AN : LEGGINGS,L,Green
26,AN206-GREEN-M,AN206,13.0,AN : LEGGINGS,M,Green
27,AN206-GREEN-S,AN206,13.0,AN : LEGGINGS,S,Green
28,AN206-GREEN-XL,AN206,15.0,AN : LEGGINGS,XL,Green
29,AN206-GREEN-XXL,AN206,13.0,AN : LEGGINGS,XXL,Green
30,AN207-PINK-L,AN207,4.0,AN : LEGGINGS,L,Pink
31,AN207-PINK-M,AN207,2.0,AN : LEGGINGS,M,Pink
32,AN207-PINK-S,AN207,4.0,AN : LEGGINGS,S,Pink
33,AN207-PINK-XL,AN207,1.0,AN : LEGGINGS,XL,Pink
34,AN207-PINK-XXL,AN207,2.0,AN : LEGGINGS,XXL,Pink
35,AN209-BIEGE-L,AN209,4.0,AN : LEGGINGS,L,Beige
36,AN209-BIEGE-M,AN209,7.0,AN : LEGGINGS,M,Beige
37,AN209-BIEGE-S,AN209,4.0,AN : LEGGINGS,S,Beige
38,AN209-BIEGE-XL,AN209,3.0,AN : LEGGINGS,XL,Beige
39,AN209-BIEGE-XXL,AN209,3.0,AN : LEGGINGS,XXL,Beige
40,AN210-NAVY-L,AN210,5.0,AN : LEGGINGS,L,Navy Blue
41,AN210-NAVY-M,AN210,3.0,AN : LEGGINGS,M,Navy Blue
42,AN210-NAVY-S,AN210,4.0,AN : LEGGINGS,S,Navy Blue
43,AN210-NAVY-XL,AN210,2.0,AN : LEGGINGS,XL,Navy Blue
44,AN210-NAVY-XXL,AN210,2.0,AN : LEGGINGS,XXL,Navy Blue
45,AN211-BLACK-L,AN211,2.0,AN : LEGGINGS,L,Black
46,AN211-BLACK-M,AN211,1.0,AN : LEGGINGS,M,Black
47,AN211-BLACK-S,AN211,7.0,AN : LEGGINGS,S,Black
48,AN211-BLACK-XL,AN211,3.0,AN : LEGGINGS,XL,Black
49,AN211-BLACK-XXL,AN211,3.0,AN : LEGGINGS,XXL,Black
